SEQ,ID,UPDATE,STATUS,MOTIVE,INTEREST_RATE,AMOUNT,CAT,TXN,CP,DELIVERY_SCORE,fecha_measure,hora,num_dia,num_dia_sem,nom_dia,mes_nombre,mes,trimestre,anio
42,15,2019-11-14T12:49:11.719920Z,REJECTED,USAGE,,,,,"",,2019-11-14,6,14,4,jue,nov,11,4,2019
43,16,2019-11-26T20:36:40.631040Z,RESPONSE,"",,,,,"",,2019-11-26,14,26,2,mar,nov,11,4,2019
44,16,2019-12-01T10:36:23.328029Z,RISK,"",,,,,"",,2019-12-01,4,1,7,dom,dic,12,4,2019
45,16,2019-12-04T00:09:25.625290Z,APPROVED,PLASTIC,0.38,10700,44,,"",,2019-12-04,18,3,2,mar,dic,12,4,2019
46,16,2019-12-11T06:37:41.812118Z,DELIVERED,"",,,,,11560,2,2019-12-11,0,11,3,mié,dic,12,4,2019
47,17,2019-11-17T04:52:09.982934Z,RESPONSE,"",,,,,"",,2019-11-17,22,16,6,sáb,nov,11,4,2019
48,17,2019-11-21T06:48:24.051399Z,RISK,"",,,,,"",,2019-11-21,0,21,4,jue,nov,11,4,2019
49,17,2019-11-29T11:33:53.621050Z,APPROVED,PLASTIC,0.48,6600,48,,"",,2019-11-29,5,29,5,vie,nov,11,4,2019
50,17,2019-11-29T16:23:58.817414Z,DELIVERED,"",,,,,44620,3,2019-11-29,10,29,5,vie,nov,11,4,2019
51,17,2019-12-01T02:16:44.872838Z,TXN,"",,,,28.1771452877744,"",,2019-12-01,20,30,6,sáb,nov,11,4,2019
52,17,2019-12-04T09:51:42.032851Z,TXN,"",,,,123.862752843384,"",,2019-12-04,3,4,3,mié,dic,12,4,2019
53,18,2019-11-11T09:04:06.447792Z,RESPONSE,"",,,,,"",,2019-11-11,3,11,1,lun,nov,11,4,2019
54,18,2019-11-12T20:23:47.880240Z,RISK,"",,,,,"",,2019-11-12,14,12,2,mar,nov,11,4,2019
55,18,2019-11-13T14:58:54.388618Z,APPROVED,PLASTIC,0.36,16300,48,,"",,2019-11-13,8,13,3,mié,nov,11,4,2019
56,18,2019-11-15T19:01:41.021674Z,DELIVERED,"",,,,,53100,2,2019-11-15,13,15,5,vie,nov,11,4,2019
57,18,2019-11-15T20:35:35.128608Z,TXN,"",,,,1131.12267843744,"",,2019-11-15,14,15,5,vie,nov,11,4,2019
58,19,2019-11-11T13:10:58.564502Z,RESPONSE,"",,,,,"",,2019-11-11,7,11,1,lun,nov,11,4,2019
59,19,2019-11-12T08:08:59.369078Z,RISK,"",,,,,"",,2019-11-12,2,12,2,mar,nov,11,4,2019
60,19,2019-11-14T11:22:12.244080Z,APPROVED,PLASTIC,0.38,21200,35,,"",,2019-11-14,5,14,4,jue,nov,11,4,2019
61,19,2019-11-14T19:03:32.369760Z,DELIVERED,"",,,,,11560,0,2019-11-14,13,14,4,jue,nov,11,4,2019
62,20,2019-11-12T20:20:08.417674Z,RESPONSE,"",,,,,"",,2019-11-12,14,12,2,mar,nov,11,4,2019
63,20,2019-11-14T23:12:18.883008Z,RISK,"",,,,,"",,2019-11-14,17,14,4,jue,nov,11,4,2019
64,20,2019-11-22T07:45:56.924323Z,APPROVED,PLASTIC,0.32,56200,48,,"",,2019-11-22,1,22,5,vie,nov,11,4,2019
65,20,2019-11-23T09:13:47.284234Z,DELIVERED,"",,,,,44100,2,2019-11-23,3,23,6,sáb,nov,11,4,2019
66,20,2019-11-30T05:40:00.795994Z,TXN,"",,,,18.2458337574993,"",,2019-11-30,23,29,5,vie,nov,11,4,2019
67,20,2019-12-03T01:25:19.509744Z,TXN,"",,,,261.948926088937,"",,2019-12-03,19,2,1,lun,dic,12,4,2019
68,22,2019-11-11T10:44:03.705072Z,RESPONSE,"",,,,,"",,2019-11-11,4,11,1,lun,nov,11,4,2019
69,22,2019-11-14T07:27:23.203872Z,RISK,"",,,,,"",,2019-11-14,1,14,4,jue,nov,11,4,2019
70,22,2019-11-18T05:08:16.578269Z,REJECTED,USAGE,,,,,"",,2019-11-18,23,17,7,dom,nov,11,4,2019
71,23,2019-11-12T00:07:11.866944Z,RESPONSE,"",,,,,"",,2019-11-12,18,11,1,lun,nov,11,4,2019
72,23,2019-11-12T05:42:38.402899Z,RISK,"",,,,,"",,2019-11-12,23,11,1,lun,nov,11,4,2019
73,23,2019-11-21T06:43:55.354829Z,REJECTED,MOP,,,,,"",,2019-11-21,0,21,4,jue,nov,11,4,2019
74,24,2019-11-11T15:20:52.763971Z,RESPONSE,"",,,,,"",,2019-11-11,9,11,1,lun,nov,11,4,2019
75,24,2019-11-11T21:47:07.391530Z,RISK,"",,,,,"",,2019-11-11,15,11,1,lun,nov,11,4,2019
76,24,2019-11-15T11:09:12.568406Z,REJECTED,INCOME,,,,,"",,2019-11-15,5,15,5,vie,nov,11,4,2019
77,26,2019-11-12T07:48:12.089779Z,RESPONSE,"",,,,,"",,2019-11-12,1,12,2,mar,nov,11,4,2019
78,26,2019-11-13T16:58:57.761558Z,RISK,"",,,,,"",,2019-11-13,10,13,3,mié,nov,11,4,2019
79,26,2019-11-13T23:02:55.776192Z,APPROVED,PLASTIC,0.36,14900,47,,"",,2019-11-13,17,13,3,mié,nov,11,4,2019
80,26,2019-11-14T22:13:56.759145Z,DELIVERED,"",,,,,44100,3,2019-11-14,16,14,4,jue,nov,11,4,2019
81,27,2019-11-11T17:24:42.027984Z,RESPONSE,"",,,,,"",,2019-11-11,11,11,1,lun,nov,11,4,2019
82,27,2019-11-12T04:13:53.462208Z,RISK,"",,,,,"",,2019-11-12,22,11,1,lun,nov,11,4,2019
83,27,2019-11-14T07:49:44.943514Z,REJECTED,INCOME,,,,,"",,2019-11-14,1,14,4,jue,nov,11,4,2019
84,28,2019-11-11T08:11:37.901674Z,RESPONSE,"",,,,,"",,2019-11-11,2,11,1,lun,nov,11,4,2019
85,28,2019-12-04T03:02:29.997917Z,RISK,"",,,,,"",,2019-12-04,21,3,2,mar,dic,12,4,2019
86,28,2019-12-07T23:46:16.106794Z,APPROVED,PLASTIC,0.46,14900,37,,"",,2019-12-07,17,7,6,sáb,dic,12,4,2019
87,28,2019-12-09T18:55:24.797194Z,DELIVERED,"",,,,,11560,4,2019-12-09,12,9,1,lun,dic,12,4,2019
88,28,2019-12-10T09:12:44.095939Z,TXN,"",,,,107.427358262078,"",,2019-12-10,3,10,2,mar,dic,12,4,2019
89,28,2019-12-10T12:01:36.768691Z,TXN,"",,,,288.904575301914,"",,2019-12-10,6,10,2,mar,dic,12,4,2019
90,29,2019-11-11T07:28:47.912246Z,RESPONSE,"",,,,,"",,2019-11-11,1,11,1,lun,nov,11,4,2019
91,29,2019-11-15T12:01:31.674374Z,RISK,"",,,,,"",,2019-11-15,6,15,5,vie,nov,11,4,2019
92,29,2019-11-17T09:51:43.951882Z,APPROVED,PLASTIC,0.42,51600,42,,"",,2019-11-17,3,17,7,dom,nov,11,4,2019
93,29,2019-11-17T17:33:34.621776Z,DELIVERED,"",,,,,11560,2,2019-11-17,11,17,7,dom,nov,11,4,2019
94,30,2019-11-11T06:00:00Z,NO_RESPONSE,"",,,,,"",,2019-11-11,0,11,1,lun,nov,11,4,2019
95,31,2019-11-11T19:22:54.642864Z,RESPONSE,"",,,,,"",,2019-11-11,13,11,1,lun,nov,11,4,2019
96,31,2019-11-14T00:21:00.487181Z,RISK,"",,,,,"",,2019-11-14,18,13,3,mié,nov,11,4,2019
97,31,2019-11-16T23:27:18.788083Z,APPROVED,PLASTIC,0.35,39700,37,,"",,2019-11-16,17,16,6,sáb,nov,11,4,2019
98,31,2019-11-18T12:22:32.718663Z,DELIVERED,"",,,,,64000,1,2019-11-18,6,18,1,lun,nov,11,4,2019
99,31,2019-11-23T03:00:21.010925Z,TXN,"",,,,239.910755395925,"",,2019-11-23,21,22,5,vie,nov,11,4,2019
100,31,2019-12-14T22:23:37.624099Z,TXN,"",,,,30.6607210210911,"",,2019-12-14,16,14,6,sáb,dic,12,4,2019
101,33,2019-11-16T12:56:26.007965Z,RESPONSE,"",,,,,"",,2019-11-16,6,16,6,sáb,nov,11,4,2019
102,33,2019-11-22T14:48:04.689994Z,RISK,"",,,,,"",,2019-11-22,8,22,5,vie,nov,11,4,2019
103,33,2019-11-29T05:54:43.408800Z,APPROVED,PLASTIC,0.35,36000,43,,"",,2019-11-29,23,28,4,jue,nov,11,4,2019
104,33,2019-12-02T22:44:43.324829Z,DELIVERED,"",,,,,53100,3,2019-12-02,16,2,1,lun,dic,12,4,2019
105,33,2020-01-04T05:16:45.935818Z,TXN,"",,,,189.502784995819,"",,2020-01-04,23,3,5,vie,ene,1,1,2020
106,35,2019-11-12T10:33:54.236362Z,RESPONSE,"",,,,,"",,2019-11-12,4,12,2,mar,nov,11,4,2019
107,35,2019-11-12T23:14:55.319626Z,RISK,"",,,,,"",,2019-11-12,17,12,2,mar,nov,11,4,2019
108,35,2019-11-15T14:20:06.663235Z,APPROVED,DIGITAL,0.39,2000,43,,"",,2019-11-15,8,15,5,vie,nov,11,4,2019
109,35,2019-12-04T07:44:07.430467Z,TXN,"",,,,96.6134796070576,"",,2019-12-04,1,4,3,mié,dic,12,4,2019
110,35,2020-10-31T21:54:24.730877Z,TXN,"",,,,827.890672562548,"",,2020-10-31,15,31,6,sáb,oct,10,4,2020
111,35,2020-12-04T02:42:07.404221Z,TXN,"",,,,711.542722212444,"",,2020-12-04,20,3,4,jue,dic,12,4,2020
112,35,2020-12-04T21:25:04.207843Z,TXN,"",,,,83.7901251038819,"",,2020-12-04,15,4,5,vie,dic,12,4,2020
113,35,2020-12-10T23:34:07.369536Z,TXN,"",,,,119.341564183844,"",,2020-12-10,17,10,4,jue,dic,12,4,2020
114,37,2019-12-15T22:50:37.527591Z,RESPONSE,"",,,,,"",,2019-12-15,16,15,7,dom,dic,12,4,2019
115,37,2019-12-24T12:11:35.494771Z,RISK,"",,,,,"",,2019-12-24,6,24,2,mar,dic,12,4,2019
116,37,2019-12-26T08:16:10.006550Z,APPROVED,DIGITAL,0.45,3200,35,,"",,2019-12-26,2,26,4,jue,dic,12,4,2019
117,37,2019-12-26T11:06:25.439530Z,TXN,"",,,,1529.73817566297,"",,2019-12-26,5,26,4,jue,dic,12,4,2019
118,38,2019-11-11T06:00:00Z,NO_RESPONSE,"",,,,,"",,2019-11-11,0,11,1,lun,nov,11,4,2019
119,41,2019-11-11T09:45:03.766090Z,RESPONSE,"",,,,,"",,2019-11-11,3,11,1,lun,nov,11,4,2019
120,41,2019-11-13T04:15:31.452077Z,RISK,"",,,,,"",,2019-11-13,22,12,2,mar,nov,11,4,2019
121,41,2019-11-15T23:48:27.445421Z,REJECTED,USAGE,,,,,"",,2019-11-15,17,15,5,vie,nov,11,4,2019
122,43,2019-11-11T06:00:00Z,NO_RESPONSE,"",,,,,"",,2019-11-11,0,11,1,lun,nov,11,4,2019
123,44,2019-11-29T02:26:29.647910Z,RESPONSE,"",,,,,"",,2019-11-29,20,28,4,jue,nov,11,4,2019
124,44,2019-12-06T09:30:40.347216Z,RISK,"",,,,,"",,2019-12-06,3,6,5,vie,dic,12,4,2019
125,44,2019-12-08T17:06:12.448858Z,APPROVED,DIGITAL,0.49,13200,35,,"",,2019-12-08,11,8,7,dom,dic,12,4,2019
126,45,2019-11-18T00:32:37.905734Z,RESPONSE,"",,,,,"",,2019-11-18,18,17,7,dom,nov,11,4,2019
127,45,2019-11-20T15:38:24.298454Z,RISK,"",,,,,"",,2019-11-20,9,20,3,mié,nov,11,4,2019
128,45,2019-11-23T08:40:50.772778Z,APPROVED,PLASTIC,0.35,13000,45,,"",,2019-11-23,2,23,6,sáb,nov,11,4,2019
129,45,2019-11-24T05:33:48.458304Z,DELIVERED,"",,,,,53100,2,2019-11-24,23,23,6,sáb,nov,11,4,2019
130,46,2019-11-11T06:00:00Z,NO_RESPONSE,"",,,,,"",,2019-11-11,0,11,1,lun,nov,11,4,2019
131,47,2019-11-21T22:57:29.085955Z,RESPONSE,"",,,,,"",,2019-11-21,16,21,4,jue,nov,11,4,2019
132,47,2019-11-25T06:09:24.349853Z,RISK,"",,,,,"",,2019-11-25,0,25,1,lun,nov,11,4,2019
133,47,2019-11-25T19:43:46.295645Z,APPROVED,PLASTIC,0.46,15100,41,,"",,2019-11-25,13,25,1,lun,nov,11,4,2019
134,47,2019-11-29T10:29:23.982Z,DELIVERED,"",,,,,44100,3,2019-11-29,4,29,5,vie,nov,11,4,2019
135,47,2019-12-07T10:15:34.651296Z,TXN,"",,,,51.2400229876568,"",,2019-12-07,4,7,6,sáb,dic,12,4,2019
136,49,2019-11-14T23:18:08.155354Z,RESPONSE,"",,,,,"",,2019-11-14,17,14,4,jue,nov,11,4,2019
137,49,2019-11-16T06:27:43.853098Z,RISK,"",,,,,"",,2019-11-16,0,16,6,sáb,nov,11,4,2019
138,49,2019-11-17T19:24:41.363798Z,APPROVED,PLASTIC,0.46,7900,44,,"",,2019-11-17,13,17,7,dom,nov,11,4,2019
139,49,2019-11-18T05:50:56.902301Z,DELIVERED,"",,,,,53100,2,2019-11-18,23,17,7,dom,nov,11,4,2019
140,49,2019-11-19T20:22:39.798163Z,TXN,"",,,,594.726133344553,"",,2019-11-19,14,19,2,mar,nov,11,4,2019
141,51,2019-11-11T20:38:29.898355Z,RESPONSE,"",,,,,"",,2019-11-11,14,11,1,lun,nov,11,4,2019
142,51,2019-11-12T15:35:23.486842Z,RISK,"",,,,,"",,2019-11-12,9,12,2,mar,nov,11,4,2019
143,51,2019-11-21T12:59:37.248835Z,APPROVED,PLASTIC,0.4,5100,39,,"",,2019-11-21,6,21,4,jue,nov,11,4,2019
144,51,2019-11-22T08:33:57.644698Z,DELIVERED,"",,,,,11560,1,2019-11-22,2,22,5,vie,nov,11,4,2019
145,51,2019-12-15T18:15:45.820109Z,TXN,"",,,,54.1922818308306,"",,2019-12-15,12,15,7,dom,dic,12,4,2019
146,51,2019-12-15T20:40:20.617190Z,TXN,"",,,,534.615733665816,"",,2019-12-15,14,15,7,dom,dic,12,4,2019
147,51,2019-12-16T12:09:48.307277Z,TXN,"",,,,377.718452509806,"",,2019-12-16,6,16,1,lun,dic,12,4,2019
148,51,2019-12-16T23:53:13.756877Z,TXN,"",,,,259.650583139826,"",,2019-12-16,17,16,1,lun,dic,12,4,2019
149,51,2019-12-17T21:15:58.093661Z,TXN,"",,,,290.268582097114,"",,2019-12-17,15,17,2,mar,dic,12,4,2019
150,52,2019-11-11T10:20:34.689379Z,RESPONSE,"",,,,,"",,2019-11-11,4,11,1,lun,nov,11,4,2019
151,52,2019-11-12T17:53:42.835402Z,RISK,"",,,,,"",,2019-11-12,11,12,2,mar,nov,11,4,2019
152,52,2019-11-14T05:36:32.149411Z,REJECTED,MOP,,,,,"",,2019-11-14,23,13,3,mié,nov,11,4,2019
153,53,2019-11-13T11:22:43.875811Z,RESPONSE,"",,,,,"",,2019-11-13,5,13,3,mié,nov,11,4,2019
154,53,2019-11-14T09:12:40.419878Z,RISK,"",,,,,"",,2019-11-14,3,14,4,jue,nov,11,4,2019
155,53,2019-11-19T15:51:23.488214Z,APPROVED,PLASTIC,0.33,17200,34,,"",,2019-11-19,9,19,2,mar,nov,11,4,2019
156,53,2019-11-21T23:35:56.252371Z,DELIVERED,"",,,,,11560,3,2019-11-21,17,21,4,jue,nov,11,4,2019
157,53,2019-12-06T23:59:44.124259Z,TXN,"",,,,77.9809801679757,"",,2019-12-06,17,6,5,vie,dic,12,4,2019
158,53,2019-12-08T17:47:40.650662Z,TXN,"",,,,118.448422836359,"",,2019-12-08,11,8,7,dom,dic,12,4,2019
159,53,2019-12-09T03:20:00.347424Z,TXN,"",,,,1410.01280792381,"",,2019-12-09,21,8,7,dom,dic,12,4,2019
160,54,2019-11-11T11:42:07.092403Z,RESPONSE,"",,,,,"",,2019-11-11,5,11,1,lun,nov,11,4,2019
161,54,2019-11-17T02:24:52.564464Z,RISK,"",,,,,"",,2019-11-17,20,16,6,sáb,nov,11,4,2019
162,54,2019-11-19T00:16:32.114611Z,REJECTED,EMPTY,,,,,"",,2019-11-19,18,18,1,lun,nov,11,4,2019
163,56,2019-11-11T06:00:00Z,NO_RESPONSE,"",,,,,"",,2019-11-11,0,11,1,lun,nov,11,4,2019
164,57,2019-11-11T06:00:00Z,NO_RESPONSE,"",,,,,"",,2019-11-11,0,11,1,lun,nov,11,4,2019
165,58,2019-11-11T14:02:57.092842Z,RESPONSE,"",,,,,"",,2019-11-11,8,11,1,lun,nov,11,4,2019
166,58,2019-11-12T01:48:56.157149Z,RISK,"",,,,,"",,2019-11-12,19,11,1,lun,nov,11,4,2019
167,58,2019-11-14T20:43:20.935546Z,APPROVED,DIGITAL,0.3,17100,32,,"",,2019-11-14,14,14,4,jue,nov,11,4,2019
168,58,2019-11-14T23:02:04.089466Z,TXN,"",,,,217.335444884575,"",,2019-11-14,17,14,4,jue,nov,11,4,2019
169,58,2019-11-16T16:10:19.829136Z,TXN,"",,,,279.477529370144,"",,2019-11-16,10,16,6,sáb,nov,11,4,2019
170,58,2019-11-19T10:55:57.960480Z,TXN,"",,,,26.5116981898456,"",,2019-11-19,4,19,2,mar,nov,11,4,2019
171,58,2019-11-21T07:44:00.920832Z,TXN,"",,,,35.9559484111843,"",,2019-11-21,1,21,4,jue,nov,11,4,2019
172,59,2019-11-16T23:20:19.282819Z,RESPONSE,"",,,,,"",,2019-11-16,17,16,6,sáb,nov,11,4,2019
173,59,2019-11-17T03:07:40.291507Z,RISK,"",,,,,"",,2019-11-17,21,16,6,sáb,nov,11,4,2019
174,59,2019-11-17T18:13:21.236534Z,APPROVED,PLASTIC,0.49,4800,40,,"",,2019-11-17,12,17,7,dom,nov,11,4,2019
175,59,2019-11-18T22:45:06.673910Z,DELIVERED,"",,,,,64000,1,2019-11-18,16,18,1,lun,nov,11,4,2019
176,59,2019-11-23T12:43:27.009408Z,TXN,"",,,,575.381864111768,"",,2019-11-23,6,23,6,sáb,nov,11,4,2019
177,59,2019-11-23T21:42:03.453523Z,TXN,"",,,,999.145020606123,"",,2019-11-23,15,23,6,sáb,nov,11,4,2019
178,59,2019-11-30T21:05:07.101110Z,TXN,"",,,,640.773310816445,"",,2019-11-30,15,30,6,sáb,nov,11,4,2019
179,60,2020-05-27T03:58:14.991312Z,RESPONSE,"",,,,,"",,2020-05-27,22,26,2,mar,may,5,2,2020
180,60,2020-05-27T23:27:18.009648Z,RISK,"",,,,,"",,2020-05-27,18,27,3,mié,may,5,2,2020
181,60,2020-06-18T14:19:37.441747Z,APPROVED,PLASTIC,0.31,13100,36,,"",,2020-06-18,9,18,4,jue,jun,6,2,2020
182,60,2020-06-21T13:00:23.834275Z,DELIVERED,"",,,,,44620,2,2020-06-21,8,21,7,dom,jun,6,2,2020
183,60,2020-06-24T22:43:01.890739Z,TXN,"",,,,163.58501420441,"",,2020-06-24,17,24,3,mié,jun,6,2,2020
184,60,2020-07-11T09:27:31.331606Z,TXN,"",,,,7959.9555371842,"",,2020-07-11,4,11,6,sáb,jul,7,3,2020
185,62,2019-11-11T09:33:32.925254Z,RESPONSE,"",,,,,"",,2019-11-11,3,11,1,lun,nov,11,4,2019
186,62,2019-11-12T05:36:27.814205Z,RISK,"",,,,,"",,2019-11-12,23,11,1,lun,nov,11,4,2019
187,62,2019-11-14T05:39:48.734467Z,APPROVED,DIGITAL,0.43,8200,34,,"",,2019-11-14,23,13,3,mié,nov,11,4,2019
188,62,2019-11-17T10:56:10.263667Z,TXN,"",,,,126.682814898853,"",,2019-11-17,4,17,7,dom,nov,11,4,2019
189,62,2019-11-19T18:44:33.562378Z,TXN,"",,,,1054.38417514222,"",,2019-11-19,12,19,2,mar,nov,11,4,2019
190,62,2019-11-20T23:36:13.758998Z,TXN,"",,,,99.2025985584625,"",,2019-11-20,17,20,3,mié,nov,11,4,2019
191,62,2019-11-21T10:50:15.984701Z,TXN,"",,,,137.37312158582,"",,2019-11-21,4,21,4,jue,nov,11,4,2019
192,64,2019-11-14T05:21:21.243024Z,RESPONSE,"",,,,,"",,2019-11-14,23,13,3,mié,nov,11,4,2019
193,64,2019-11-17T01:18:18.076810Z,RISK,"",,,,,"",,2019-11-17,19,16,6,sáb,nov,11,4,2019
194,64,2019-11-28T12:57:34.401859Z,APPROVED,PLASTIC,0.33,15300,39,,"",,2019-11-28,6,28,4,jue,nov,11,4,2019
195,64,2019-12-02T19:29:30.104822Z,DELIVERED,"",,,,,44620,2,2019-12-02,13,2,1,lun,dic,12,4,2019
196,64,2019-12-03T03:03:09.836266Z,TXN,"",,,,16404.2982992651,"",,2019-12-03,21,2,1,lun,dic,12,4,2019
197,64,2020-03-30T23:58:20.063712Z,TXN,"",,,,23157.1179075635,"",,2020-03-30,17,30,1,lun,mar,3,1,2020
198,64,2020-04-09T23:41:53.138314Z,TXN,"",,,,373.286439411431,"",,2020-04-09,18,9,4,jue,abr,4,2,2020
199,65,2019-12-19T12:17:41.599997Z,RESPONSE,"",,,,,"",,2019-12-19,6,19,4,jue,dic,12,4,2019
200,65,2019-12-19T21:37:36.725405Z,RISK,"",,,,,"",,2019-12-19,15,19,4,jue,dic,12,4,2019
201,65,2019-12-24T20:19:26.176800Z,APPROVED,DIGITAL,0.36,5200,43,,"",,2019-12-24,14,24,2,mar,dic,12,4,2019
202,65,2019-12-27T16:52:01.844141Z,TXN,"",,,,35.1154115740817,"",,2019-12-27,10,27,5,vie,dic,12,4,2019
203,65,2019-12-30T01:58:18.319526Z,TXN,"",,,,780.603843125126,"",,2019-12-30,19,29,7,dom,dic,12,4,2019
204,66,2019-11-12T09:23:22.851398Z,RESPONSE,"",,,,,"",,2019-11-12,3,12,2,mar,nov,11,4,2019
205,66,2019-11-13T10:41:53.800512Z,RISK,"",,,,,"",,2019-11-13,4,13,3,mié,nov,11,4,2019
206,66,2019-11-17T15:15:28.107331Z,REJECTED,USAGE,,,,,"",,2019-11-17,9,17,7,dom,nov,11,4,2019
207,68,2019-11-13T11:20:20.222765Z,RESPONSE,"",,,,,"",,2019-11-13,5,13,3,mié,nov,11,4,2019
